Summary,Test Type,Epic,Feature,Story,Test Sets,JIRA Keys,Step Action,Step Data,Step Expected
"Attempt to select seats separating group in same row - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4752;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Tron: Ares"";Selecting showtime ""21:50P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 1];Selecting seat [Row 6, Seat 2];Selecting seat [Row 6, Seat 5]",";;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully"
"Customer Service page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Customer Service page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""http://ayuda.cinesa.es/""];Taking screenshot",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Select seats separating group in different rows - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5620;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""22:30P. M.Sala 7"";Selecting seats separating group in different rows",";;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully"
"Select only companion seat - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Tron: Ares"";Selecting showtime ""21:50P. M.Sala 10"";Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 1, Seat 6]",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Selection completes successfully"
"Legal Notice page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Legal Notice page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/aviso-legal""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should have all article cards visible","Automatic","Cinesa Platform","Blog - Content Platform","OCG-2009 - Article cards visibility","Blog - Content Platform","OCG-2009","Wait for #onetrust-banner-sdk to be visible;Navigating to the Blog Landing Page;Verifying article card at index 0 is visible;Verifying article card at index 1 is visible;Verifying article card at index 2 is visible;Verifying article card at index 3 is visible;Verifying article card at index 4 is visible;Verifying article card at index 5 is visible;Verifying article card at index 6 is visible;Verifying article card at index 7 is visible;Verifying article card at index 8 is visible",";;;;;;;;;;","Element should be visible;Step completes successfully;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible"
"Attempt to select sofa seats separating group in same row - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"Display regular and sofa ticket types - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;TC: https://se-ocg.atlassian.net/browse/COMS-4665;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 16];Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 4, Seat 12];Waiting for seat picker container;Confirming selected seats;Wait for ""Continue as Guest"" button;Click ""Continue as Guest"" button;Wait for ticket types to load;Verify ticket types include regular and D-BOX options",";;;;;;;;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Page loads successfully;Selection completes successfully;Page loads successfully;Click action completes;Page loads successfully;ticket types include regular and D-BOX options is correct"
"No seat selection validation - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Reversion"";Selecting showtime ""21:35P. M.Sala 2""",";;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully"
"Full purchase with standard promotional code - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Promotional code application in booking flow","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Tron: Ares"";Selecting showtime ""21:50P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
